geneid	chr	left	right
A1BG	chr19	63548356	63556669
A1CF	chr10	52236328	52315441
A26A1	chr8	43266742	43337485
A26B1	chr15	19305253	19336667
A26C1A	chr2	131692394	131739435
A26C1B	chr2	130548073	130603265
A26C2	chr14	18623365	18654942
A26C3	chr22	14636332	14667885
A2BP1	chr16	7322752	7702500
A2LD1	chr13	99980520	100039047
A2M	chr12	9096693	9159825
A2ML1	chr12	8866417	8920646
A3GALT2	chr1	33544954	33559286
A4GALT	chr22	41418072	41446820
A4GNT	chr3	139325252	139333919
AAAS	chr12	51987508	52001648
AACS	chr12	124115878	124193824
AADAC	chr3	153014551	153028966
AADACL1	chr3	173831130	173911702
AADACL2	chr3	152934405	152958242
AADACL3	chr1	12698705	12711313
AADACL4	chr1	12627153	12649684
AADAT	chr4	171217948	171247947
AADC01095577.1	chr11	1152663	1178504
AAK1	chr2	69542036	69724290
AAMP	chr2	218837099	218843137
AANAT	chr17	71961028	71977793
AARS	chr16	68843798	68880913
AARS2	chr6	44374441	44389041
AARSD1	chr17	38356073	38386033
AASDH	chr4	56899219	56948395
AASDHPPT	chr11	105453502	105474629
AASS	chr7	121503532	121571504
AATF	chr17	32380288	32488283
AATK	chr17	76705703	76754467
AB019438.1	chr14	106009519	106022574
AB019439.1	chr14	105926945	105930412
ABAT	chr16	8675928	8785933
ABCA1	chr9	106583104	106730257
ABCA10	chr17	64655743	64752551
ABCA11	chr4	409224	457918
ABCA12	chr2	215504522	215711396
ABCA13	chr7	48208389	48657637
ABCA2	chr9	139021507	139043195
ABCA3	chr16	2265880	2330748
ABCA4	chr1	94230981	94359298
ABCA5	chr17	64754387	64834885
ABCA6	chr17	64586442	64649610
ABCA7	chr19	991116	1016424
ABCA8	chr17	64375028	64463128
ABCA9	chr17	64482369	64568731
ABCB1	chr7	86970884	87180500
ABCB10	chr1	227718953	227761065
ABCB11	chr2	169487694	169596079
ABCB4	chr7	86869302	86942991
ABCB5	chr7	20621355	20763157
ABCB6	chr2	219782738	219791917
ABCB7	chrX	74189834	74292857
ABCB8	chr7	150356482	150373582
ABCB9	chr12	121979494	122025705
ABCC1	chr16	15950935	16144432
ABCC10	chr6	43503270	43526142
ABCC11	chr16	46758322	46838806
ABCC12	chr16	46674385	46738182
ABCC13	chr21	14567991	14632206
ABCC2	chr10	101532493	101601571
ABCC3	chr17	46067227	46124061
ABCC4	chr13	94470084	94751688
ABCC5	chr3	185120420	185218421
ABCC6	chr16	16150924	16224815
ABCC6P2	chr16	14824163	14826050
ABCC8	chr11	17371008	17455025
ABCC9	chr12	21841590	21980895
ABCD1	chrX	152643517	152663410
ABCD2	chr12	38232814	38300237
ABCD3	chr1	94656599	94756670
ABCD4	chr14	73821733	73839512
ABCE1	chr4	146238606	146270126
ABCF1	chr6	30647149	30667286
ABCF2	chr7	150535856	150555250
ABCF3	chr3	185386678	185394487
ABCG1	chr21	42492868	42590421
ABCG2	chr4	89230441	89299035
ABCG4	chr11	118524960	118538582
ABCG5	chr2	43893115	43919462
ABCG8	chr2	43919607	43959108
ABHD1	chr2	27200161	27207182
ABHD10	chr3	113180589	113194896
ABHD11	chr7	72788363	72791120
ABHD12	chr20	25223380	25319477
ABHD13	chr13	107668764	107684603
ABHD14A	chr3	51984124	51990250
ABHD14B	chr3	51977575	51983117
ABHD2	chr15	87432429	87546567
ABHD3	chr18	17484856	17538724
ABHD4	chr14	22136987	22151097
ABHD5	chr3	43707379	43735295
ABHD6	chr3	58198349	58255499
ABHD7	chr1	92268146	92301672
ABHD8	chr19	17263941	17275282
ABHD9	chr19	15198731	15204231
ABI2	chr2	203901248	204005134
ABI3	chr17	44642588	44655586
ABI3BP	chr3	101950871	102195004
ABL1	chr9	132579089	132752883
ABL2	chr1	177335085	177465155
ABLIM1	chr10	116180862	116434404
ABLIM2	chr4	8018929	8211381
ABLIM3	chr5	148501247	148620192
ABO	chr9	135120384	135140451
ABP1	chr7	150180506	150189312
ABR	chr17	853510	1029881
ABRA	chr8	107840888	107851648
ABT1	chr6	26705159	26708257
ABTB1	chr3	128867472	128882452
ABTB2	chr11	34129111	34335378
AC000032.7	chr1	110012194	110053694
AC000120.1	chr7	91617157	91646781
AC002055.2	chr22	49542380	49584800
AC002081.1	chr7	86412133	86526765
AC002126.1	chr19	19148712	19163938
AC002301.1-201	chrNT_113929	104940	105275
AC002301.1-202	chrNT_113929	98611	103264
AC002301.1-203	chrNT_113929	89369	97443
AC002301.1-204	chrNT_113929	76909	80391
AC002301.1-205	chrNT_113929	41084	44578
AC002321.1-201	chrNT_113911	26413	27614
AC002321.1-202	chrNT_113911	14306	22346
AC002351.2	chr12	109858789	109859638
AC002470.17	chr22	19637822	19642102
AC002472.8-201	chr22	19693395	19698576
AC002472.8-202	chr22	19730270	19746565
AC002511.1	chr19	40588349	40599582
AC003003.1	chr16	19204665	19227914
AC003042.2	chr17	32022339	32031324
AC003662.3	chr17	41278037	41280212
AC003999.2	chr7	26644015	26653414
AC004014.2	chr7	108311274	108311873
AC004017.1-201	chr19	62890341	62891216
AC004017.1-202	chr19	62895680	62895940
AC004053.1	chr4	107186689	107457244
AC004082.1	chr7	82287732	82314451
AC004084.1	chr7	102001355	102007318
AC004084.7	chr7	101983352	101989855
AC004128.1	chr7	92157230	92160095
AC004148.1	chr17	5269338	5275700
AC004166.12-201	chr7	73936201	73944663
AC004166.12-202	chr7	73958342	73969099
AC004241.2	chr12	46389795	46405617
AC004258.1	chr19	1226438	1230227
AC004381.6	chr16	20725322	20768485
AC004386.1	chrX	73334464	73353624
AC004409.1	chrX	133198743	133207474
AC004410.1	chr19	2279629	2306099
AC004449.1	chr19	595371	598309
AC004455.2	chr7	43124020	43169311
AC004460.1-201	chr15	28876855	28881227
AC004460.1-202	chr15	28795810	28848794
AC004471.2	chr22	17498503	17499992
AC004491.2	chr7	75200714	75206216
